time,year,month,temperature
2016-07-21,2016,7,26.3
2016-07-22,2016,7,28.3
2016-07-23,2016,7,30.8
2016-07-24,2016,7,29.1
2016-07-25,2016,7,27.0
2016-07-26,2016,7,28.0
2016-07-27,2016,7,28.7
2016-07-28,2016,7,27.7
2016-07-29,2016,7,25.5
2016-07-30,2016,7,25.3
2016-07-31,2016,7,24.9
2016-08-01,2016,8,23.5
2016-08-02,2016,8,23.7
2016-08-03,2016,8,24.1
2016-08-04,2016,8,24.3
2016-08-05,2016,8,25.0
2016-08-06,2016,8,26.5
2016-08-09,2016,8,26.5
2016-08-10,2016,8,27.6
2016-08-11,2016,8,29.2
2016-08-12,2016,8,29.0
2016-08-14,2016,8,31.1
2016-08-16,2016,8,28.7
2016-08-17,2016,8,28.3
2016-08-18,2016,8,27.1
2016-08-19,2016,8,27.9
2016-08-20,2016,8,26.8
2016-08-21,2016,8,27.0
2016-08-22,2016,8,24.8
2016-08-23,2016,8,24.1
2016-08-24,2016,8,25.3
2016-08-25,2016,8,25.5
2016-08-26,2016,8,28.8
2016-08-27,2016,8,27.9
2016-08-28,2016,8,26.5
2016-08-29,2016,8,28.1
2016-08-30,2016,8,25.9
2016-08-31,2016,8,26.3
2016-09-01,2016,9,24.0
2016-09-02,2016,9,24.5
2016-09-03,2016,9,23.2
2016-09-04,2016,9,23.6
2016-09-05,2016,9,24.3
2016-09-06,2016,9,25.0
2016-09-07,2016,9,25.7
2016-09-08,2016,9,27.0
2016-09-09,2016,9,29.5
2016-09-10,2016,9,28.5
2016-09-11,2016,9,26.8
2016-09-12,2016,9,22.4
2016-09-13,2016,9,22.9
2016-09-14,2016,9,25.1
2016-09-15,2016,9,21.5
2016-09-16,2016,9,20.5
2016-09-17,2016,9,21.5
2016-09-18,2016,9,24.5
2016-09-19,2016,9,22.8
2016-09-20,2016,9,24.4
2016-09-21,2016,9,25.6
2016-09-22,2016,9,25.2
2016-09-23,2016,9,24.8
2016-09-24,2016,9,20.1
2016-09-25,2016,9,19.0
2016-09-26,2016,9,20.0
2016-09-27,2016,9,21.2
2016-10-01,2016,10,16.5
2016-10-02,2016,10,17.2
2016-10-03,2016,10,19.5
2016-10-05,2016,10,17.5
2016-10-06,2016,10,18.7
2016-10-07,2016,10,19.6
2016-10-08,2016,10,19.1
2016-10-09,2016,10,15.8
2016-10-14,2016,10,14.7
2016-10-15,2016,10,15.2
2016-10-16,2016,10,17.2
2016-10-17,2016,10,21.5
2016-11-10,2016,11,10.9
2016-11-11,2016,11,12.2
2016-11-12,2016,11,7.9
2016-11-13,2016,11,10.5
2016-11-15,2016,11,11.1
2016-11-16,2016,11,11.9
2016-11-17,2016,11,13.5
2016-11-18,2016,11,12.6
2016-11-19,2016,11,13.2
2016-11-20,2016,11,5.0
2016-11-21,2016,11,4.8
2016-11-22,2016,11,5.1
2016-11-23,2016,11,5.9
2016-11-24,2016,11,7.9
2016-11-25,2016,11,10.2
2016-11-26,2016,11,9.1
2016-11-27,2016,11,7.8
2016-11-28,2016,11,8.3
2016-11-29,2016,11,13.4
2016-11-30,2016,11,12.6
2016-12-01,2016,12,11.1
2016-12-02,2016,12,7.8
2016-12-03,2016,12,7.7
2016-12-04,2016,12,7.0
2016-12-05,2016,12,7.3
2016-12-06,2016,12,6.8
2016-12-07,2016,12,6.7
2016-12-08,2016,12,5.2
2016-12-09,2016,12,2.6
2016-12-10,2016,12,1.0
2016-12-11,2016,12,0.4
2016-12-12,2016,12,5.6
2016-12-13,2016,12,4.8
2016-12-15,2016,12,-2.2
2016-12-17,2016,12,0.7
2016-12-18,2016,12,8.0
2016-12-19,2016,12,-0.9
2016-12-20,2016,12,-0.7
2016-12-21,2016,12,2.1
2016-12-22,2016,12,5.6
2016-12-23,2016,12,5.8
2016-12-24,2016,12,5.6
2016-12-25,2016,12,7.1
2016-12-26,2016,12,5.2
2016-12-27,2016,12,12.3
2016-12-28,2016,12,4.5
2016-12-29,2016,12,4.9
2016-12-30,2016,12,3.5
2016-12-31,2016,12,3.6
2017-01-01,2017,1,7.9
2017-01-02,2017,1,4.9
2017-01-03,2017,1,5.8
2017-01-04,2017,1,7.1
2017-01-05,2017,1,0.1
2017-01-06,2017,1,-0.1
2017-01-07,2017,1,-3.3
2017-01-08,2017,1,-4.8
2017-01-09,2017,1,-6.1
2017-01-10,2017,1,-0.3
2017-01-11,2017,1,7.8
2017-01-12,2017,1,13.5
2017-01-13,2017,1,8.9
2017-01-14,2017,1,0.2
2017-01-15,2017,1,2.0
2017-01-16,2017,1,3.1
2017-01-17,2017,1,4.3
2017-01-20,2017,1,5.7
2017-01-21,2017,1,6.8
2017-01-22,2017,1,7.4
2017-01-23,2017,1,5.1
2017-01-24,2017,1,3.9
2017-01-25,2017,1,7.1
2017-01-26,2017,1,8.4
2017-01-28,2017,1,2.8
2017-01-29,2017,1,3.9
2017-01-30,2017,1,2.2
2017-01-31,2017,1,-0.4
2017-02-01,2017,2,5.1
2017-02-02,2017,2,4.1
2017-02-03,2017,2,-0.3
2017-02-04,2017,2,-1.1
2017-02-05,2017,2,2.8
2017-02-06,2017,2,5.9
2017-02-07,2017,2,4.4
2017-02-08,2017,2,9.0
2017-02-09,2017,2,-0.5
2017-02-10,2017,2,-2.6
2017-02-11,2017,2,4.1
2017-02-12,2017,2,2.0
2017-02-13,2017,2,2.4
2017-02-14,2017,2,1.9
2017-02-15,2017,2,4.2
2017-02-16,2017,2,1.6
2017-02-17,2017,2,2.2
2017-02-18,2017,2,9.0
2017-02-19,2017,2,14.3
2017-02-20,2017,2,9.8
2017-02-23,2017,2,12.0
2017-02-24,2017,2,15.8
2017-02-25,2017,2,12.7
2017-02-26,2017,2,5.4
2017-02-27,2017,2,6.6
2017-02-28,2017,2,10.5
2017-03-01,2017,3,15.2
2017-03-02,2017,3,9.3
2017-03-03,2017,3,1.8
2017-03-04,2017,3,-2.8
2017-03-05,2017,3,-2.1
2017-03-06,2017,3,2.7
2017-03-07,2017,3,8.4
2017-03-08,2017,3,12.8
2017-03-09,2017,3,13.0
2017-03-10,2017,3,3.6
2017-03-11,2017,3,-3.1
2017-03-12,2017,3,-2.3
2017-03-13,2017,3,-1.4
2017-03-14,2017,3,-0.5
2017-03-15,2017,3,-3.3
2017-03-16,2017,3,0.6
2017-03-17,2017,3,3.3
2017-03-18,2017,3,2.8
2017-03-19,2017,3,5.6
2017-03-20,2017,3,6.8
2017-03-21,2017,3,10.1
2017-03-22,2017,3,4.1
2017-03-23,2017,3,1.4
2017-03-24,2017,3,6.8
2017-03-25,2017,3,10.5
2017-03-26,2017,3,5.1
2017-03-27,2017,3,7.0
2017-03-28,2017,3,6.7
2017-03-29,2017,3,10.2
2017-03-30,2017,3,6.9
2017-03-31,2017,3,4.8
2017-04-01,2017,4,6.2
2017-04-02,2017,4,11.3
2017-04-03,2017,4,11.5
2017-04-04,2017,4,9.4
2017-04-05,2017,4,10.1
2017-04-06,2017,4,7.4
2017-04-07,2017,4,7.8
2017-04-08,2017,4,9.3
2017-04-09,2017,4,12.1
2017-04-10,2017,4,16.5
2017-04-11,2017,4,18.9
2017-04-12,2017,4,17.5
2017-04-13,2017,4,13.9
2017-04-14,2017,4,12.9
2017-04-15,2017,4,12.9
2017-04-16,2017,4,20.4
2017-04-17,2017,4,19.4
2017-04-18,2017,4,13.2
2017-04-19,2017,4,9.2
2017-04-20,2017,4,13.0
2017-04-21,2017,4,10.9
2017-04-22,2017,4,11.7
2017-04-23,2017,4,12.2
2017-04-24,2017,4,11.9
2017-04-25,2017,4,11.5
2017-04-26,2017,4,13.6
2017-04-27,2017,4,15.8
2017-04-28,2017,4,20.0
2017-04-29,2017,4,22.8
2017-04-30,2017,4,15.4
2017-05-01,2017,5,15.6
2017-05-02,2017,5,20.5
2017-05-03,2017,5,16.6
2017-05-04,2017,5,13.3
2017-05-05,2017,5,13.4
2017-05-06,2017,5,15.4
2017-05-07,2017,5,11.7
2017-05-08,2017,5,11.8
2017-05-09,2017,5,12.9
